               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.038004,            0.033157,           0.0014657,             0.53818,             0.32837,             0.36214,             0.18262,            0.068366,            0.051301,           0.0054893,             0.00208,             0.00208,             0.00208
                 122,            0.037993,            0.033595,           0.0016635,             0.35651,             0.43889,             0.38027,             0.18871,            0.066008,            0.048832,            0.005399,            0.002014,            0.002014,            0.002014
                 123,            0.037424,            0.034856,           0.0012951,              0.3837,             0.43492,             0.37073,             0.18322,            0.067501,            0.050434,           0.0044428,            0.001948,            0.001948,            0.001948
                 124,            0.040266,             0.03787,           0.0013538,             0.39278,             0.42215,             0.36063,             0.17882,             0.06893,             0.05074,           0.0042284,            0.001882,            0.001882,            0.001882
                 125,            0.041743,            0.045946,           0.0012536,             0.37062,             0.40521,             0.37596,             0.18825,            0.069121,            0.048893,           0.0041065,            0.001816,            0.001816,            0.001816
                 126,            0.040596,             0.04256,           0.0018723,             0.40899,             0.41685,             0.39542,             0.19009,            0.067045,            0.046669,           0.0038195,             0.00175,             0.00175,             0.00175
                 127,             0.03802,            0.036876,          0.00084205,             0.55343,             0.36232,              0.3891,             0.19837,            0.067296,            0.046678,           0.0037523,            0.001684,            0.001684,            0.001684
                 128,             0.03556,            0.031464,           0.0010638,              0.6457,             0.32571,             0.38601,             0.19438,            0.067851,            0.047291,           0.0047231,            0.001618,            0.001618,            0.001618
                 129,            0.036046,            0.033598,           0.0014065,             0.63216,             0.33842,             0.37288,             0.18715,            0.068822,            0.049019,           0.0059278,            0.001552,            0.001552,            0.001552
                 130,             0.03667,            0.033714,           0.0012072,             0.44897,             0.37073,             0.35946,             0.18306,            0.069829,            0.050617,           0.0060037,            0.001486,            0.001486,            0.001486
                 131,            0.040337,            0.035932,           0.0012504,              0.3737,             0.38755,               0.336,             0.17194,            0.070623,            0.052742,            0.006241,             0.00142,             0.00142,             0.00142
                 132,            0.038007,            0.038494,           0.0010051,             0.41059,             0.37992,             0.35609,             0.17617,            0.070361,             0.05278,           0.0060467,            0.001354,            0.001354,            0.001354
                 133,            0.036639,            0.030699,          0.00098221,             0.46911,             0.38149,             0.36926,             0.17616,            0.069738,            0.051949,           0.0062522,            0.001288,            0.001288,            0.001288
